Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),index
2003-12-31,,,,1000.0,,,NSE/CNX_LOW_VOLATILITY
2004-01-01,,,,1015.5,,,NSE/CNX_LOW_VOLATILITY
2004-01-02,,,,1035.15,,,NSE/CNX_LOW_VOLATILITY
2004-01-05,,,,1035.74,,,NSE/CNX_LOW_VOLATILITY
2004-01-06,,,,1023.33,,,NSE/CNX_LOW_VOLATILITY
2004-01-07,,,,1017.9,,,NSE/CNX_LOW_VOLATILITY
2004-01-08,,,,1039.91,,,NSE/CNX_LOW_VOLATILITY
2004-01-09,,,,1047.15,,,NSE/CNX_LOW_VOLATILITY
2004-01-12,,,,1033.03,,,NSE/CNX_LOW_VOLATILITY
2004-01-13,,,,1039.78,,,NSE/CNX_LOW_VOLATILITY
2004-01-14,,,,1053.33,,,NSE/CNX_LOW_VOLATILITY
2004-01-15,,,,1039.63,,,NSE/CNX_LOW_VOLATILITY
2004-01-16,,,,1015.83,,,NSE/CNX_LOW_VOLATILITY
2004-01-19,,,,1025.68,,,NSE/CNX_LOW_VOLATILITY
2004-01-20,,,,1010.52,,,NSE/CNX_LOW_VOLATILITY
2004-01-21,,,,972.39,,,NSE/CNX_LOW_VOLATILITY
2004-01-22,,,,945.98,,,NSE/CNX_LOW_VOLATILITY
2004-01-23,,,,979.25,,,NSE/CNX_LOW_VOLATILITY
2004-01-27,,,,1008.31,,,NSE/CNX_LOW_VOLATILITY
2004-01-28,,,,989.96,,,NSE/CNX_LOW_VOLATILITY
2004-01-29,,,,988.14,,,NSE/CNX_LOW_VOLATILITY
2004-01-30,,,,972.1,,,NSE/CNX_LOW_VOLATILITY
2004-02-03,,,,952.96,,,NSE/CNX_LOW_VOLATILITY
2004-02-04,,,,971.25,,,NSE/CNX_LOW_VOLATILITY
2004-02-05,,,,968.64,,,NSE/CNX_LOW_VOLATILITY
2004-02-06,,,,977.8,,,NSE/CNX_LOW_VOLATILITY
2004-02-09,,,,995.82,,,NSE/CNX_LOW_VOLATILITY
2004-02-10,,,,993.63,,,NSE/CNX_LOW_VOLATILITY
2004-02-11,,,,1002.31,,,NSE/CNX_LOW_VOLATILITY
2004-02-12,,,,1003.43,,,NSE/CNX_LOW_VOLATILITY
2004-02-13,,,,1014.65,,,NSE/CNX_LOW_VOLATILITY
2004-02-16,,,,1018.98,,,NSE/CNX_LOW_VOLATILITY
2004-02-17,,,,1023.71,,,NSE/CNX_LOW_VOLATILITY
2004-02-18,,,,1024.4,,,NSE/CNX_LOW_VOLATILITY
2004-02-19,,,,1003.86,,,NSE/CNX_LOW_VOLATILITY
2004-02-20,,,,998.72,,,NSE/CNX_LOW_VOLATILITY
2004-02-23,,,,982.93,,,NSE/CNX_LOW_VOLATILITY
